"~id","~start_node_id","~end_node_id","~relationship_type"
"1152936897769636369","529","526","WROTE"
"1155188697583321617","529","7431","WROTE"
"1152936897769636370","530","528","WROTE"
"1152936897769636373","533","528","WROTE"
"1152936897769636377","537","535","WROTE"
"1152936897769636381","541","539","WROTE"
"1155188697583321629","541","2705","WROTE"
"1157440497397006877","541","2968","WROTE"
"1159692297210692125","541","3021","WROTE"
"1152936897769636385","545","543","WROTE"
"1155188697583321633","545","5708","WROTE"
"1152936897769636388","548","546","WROTE"
"1152936897769636391","551","547","WROTE"
"1155188697583321639","551","601","WROTE"
"1157440497397006887","551","991","WROTE"
"1159692297210692135","551","2578","WROTE"
"1161944097024377383","551","2579","WROTE"
"1164195896838062631","551","2592","WROTE"
"1152936897769636393","553","550","WROTE"
"1155188697583321641","553","572","WROTE"
"1157440497397006889","553","993","WROTE"
"1159692297210692137","553","5863","WROTE"
"1152936897769636395","555","552","WROTE"
"1155188697583321643","555","554","WROTE"
"1157440497397006891","555","2946","WROTE"
"1159692297210692139","555","2947","WROTE"
"1152936897769636398","558","556","WROTE"
"1155188697583321646","558","592","WROTE"
"1157440497397006894","558","5689","WROTE"
"1159692297210692142","558","7235","WROTE"
"1161944097024377390","558","7241","WROTE"
"1164195896838062638","558","7250","WROTE"
"1166447696651747886","558","7252","WROTE"
"1168699496465433134","558","8059","WROTE"
"1152936897769636399","559","557","WROTE"
"1152936897769636400","560","557","WROTE"
"1152936897769636402","562","557","WROTE"
"1152936897769636406","566","564","WROTE"
"1152936897769636408","568","565","WROTE"
"1155188697583321656","568","2953","WROTE"
"1157440497397006904","568","3924","WROTE"
"1159692297210692152","568","8815","WROTE"
"1152936897769636410","570","567","WROTE"
"1155188697583321658","570","575","WROTE"
"1157440497397006906","570","1810","WROTE"
"1159692297210692154","570","8910","WROTE"
"1161944097024377402","570","9853","WROTE"
"1164195896838062650","570","9854","WROTE"
"1166447696651747898","570","11105","WROTE"
"1152936897769636413","573","569","WROTE"
"1155188697583321661","573","1286","WROTE"
"1157440497397006909","573","3663","WROTE"
"1159692297210692157","573","5318","WROTE"
"1161944097024377405","573","7877","WROTE"
"1164195896838062653","573","9052","WROTE"
"1152936897769636416","576","574","WROTE"
"1152936897769636419","579","577","WROTE"
"1152936897769636421","581","578","WROTE"
"1155188697583321669","581","1016","WROTE"
"1157440497397006917","581","4894","WROTE"
"1152936897769636423","583","580","WROTE"
"1152936897769636425","585","582","WROTE"
"1155188697583321673","585","9792","WROTE"
"1152936897769636426","586","584","WROTE"
"1155188697583321674","586","879","WROTE"
"1157440497397006922","586","903","WROTE"
"1159692297210692170","586","1068","WROTE"
"1161944097024377418","586","1070","WROTE"
"1164195896838062666","586","1155","WROTE"
"1166447696651747914","586","5848","WROTE"
"1168699496465433162","586","7824","WROTE"
"1170951296279118410","586","7833","WROTE"
"1152936897769636429","589","587","WROTE"
"1152936897769636431","591","588","WROTE"
"1155188697583321679","591","9851","WROTE"
"1152936897769636433","593","590","WROTE"
"1155188697583321681","593","6935","WROTE"
"1157440497397006929","593","9644","WROTE"
"1159692297210692177","593","9649","WROTE"
"1161944097024377425","593","9652","WROTE"
"1164195896838062673","593","10104","WROTE"
"1166447696651747921","593","11522","WROTE"
"1168699496465433169","593","11527","WROTE"
"1152936897769636436","596","594","WROTE"
"1155188697583321684","596","5988","WROTE"
"1157440497397006932","596","6050","WROTE"
"1159692297210692180","596","8844","WROTE"
"1152936897769636440","600","597","WROTE"
"1152936897769636442","602","599","WROTE"
"1155188697583321690","602","3624","WROTE"
"1157440497397006938","602","11229","WROTE"
"1152936897769636445","605","603","WROTE"
"1155188697583321693","605","5698","WROTE"
"1152936897769636451","611","609","WROTE"
"1155188697583321699","611","4123","WROTE"
"1157440497397006947","611","9925","WROTE"
"1152936897769636452","612","610","WROTE"
"1155188697583321700","612","803","WROTE"
"1157440497397006948","612","1031","WROTE"
